# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Static,95,0.0,USD/month
4,N-Dynamic,96,657.0,USD/month
4,N-Cloud,96,73.0,USD/month
4,N-Static,96,0.0,USD/month
4,N-Dynamic,97,711.75,USD/month
4,N-Cloud,97,73.0,USD/month
4,N-Static,97,0.0,USD/month
4,N-Dynamic,98,711.75,USD/month
4,N-Cloud,98,73.0,USD/month
4,N-Static,98,0.0,USD/month
4,N-Dynamic,99,711.75,USD/month
4,N-Cloud,99,73.0,USD/month
4,N-Static,99,0.0,USD/month
4,N-Dynamic,100,711.75,USD/month
4,N-Cloud,100,73.0,USD/month
4,N-Static,100,0.0,USD/month
4,N-Dynamic,101,711.75,USD/month
4,N-Cloud,101,73.0,USD/month
4,N-Static,101,0.0,USD/month
4,N-Dynamic,102,711.75,USD/month
4,N-Cloud,102,73.0,USD/month
4,N-Static,102,0.0,USD/month
4,N-Dynamic,103,711.75,USD/month
4,N-Cloud,103,73.0,USD/month
4,N-Static,103,0.0,USD/month
4,N-Dynamic,104,711.75,USD/month
4,N-Cloud,104,73.0,USD/month
4,N-Static,104,0.0,USD/month
4,N-Dynamic,105,766.5,USD/month
4,N-Cloud,105,73.0,USD/month
4,N-Static,105,0.0,USD/month
4,N-Dynamic,106,766.5,USD/month
4,N-Cloud,106,73.0,USD/month
4,N-Static,106,0.0,USD/month
4,N-Dynamic,107,766.5,USD/month
4,N-Cloud,107,73.0,USD/month
4,N-Static,107,0.0,USD/month
4,N-Dynamic,108,766.5,USD/month
4,N-Cloud,108,73.0,USD/month
4,N-Static,108,0.0,USD/month
4,N-Dynamic,109,766.5,USD/month
4,N-Cloud,109,73.0,USD/month
4,N-Static,109,0.0,USD/month
4,N-Dynamic,110,766.5,USD/month
4,N-Cloud,110,73.0,USD/month
4,N-Static,110,0.0,USD/month
4,N-Dynamic,111,766.5,USD/month
4,N-Cloud,111,73.0,USD/month
4,N-Static,111,0.0,USD/month
4,N-Dynamic,112,766.5,USD/month
4,N-Cloud,112,73.0,USD/month
4,N-Static,112,0.0,USD/month
4,N-Dynamic,113,821.25,USD/month
4,N-Cloud,113,73.0,USD/month
4,N-Static,113,0.0,USD/month
4,N-Dynamic,114,821.25,USD/month
4,N-Cloud,114,73.0,USD/month
4,N-Static,114,0.0,USD/month
4,N-Dynamic,115,821.25,USD/month
4,N-Cloud,115,73.0,USD/month
4,N-Static,115,0.0,USD/month
4,N-Dynamic,116,821.25,USD/month
4,N-Cloud,116,73.0,USD/month
4,N-Static,116,0.0,USD/month
4,N-Dynamic,117,821.25,USD/month
4,N-Cloud,117,73.0,USD/month
4,N-Static,117,0.0,USD/month
4,N-Dynamic,118,821.25,USD/month
4,N-Cloud,118,73.0,USD/month
4,N-Static,118,0.0,USD/month
4,N-Dynamic,119,821.25,USD/month
4,N-Cloud,119,73.0,USD/month
4,N-Static,119,0.0,USD/month
4,N-Dynamic,120,821.25,USD/month
4,N-Cloud,120,73.0,USD/month
4,N-Static,120,0.0,USD/month
4,N-Dynamic,121,876.0,USD/month
4,N-Cloud,121,73.0,USD/month
4,N-Static,121,0.0,USD/month
4,N-Dynamic,122,876.0,USD/month
4,N-Cloud,122,73.0,USD/month
4,N-Static,122,0.0,USD/month
4,N-Dynamic,123,876.0,USD/month
4,N-Cloud,123,73.0,USD/month
4,N-Static,123,0.0,USD/month
4,N-Dynamic,124,876.0,USD/month
4,N-Cloud,124,73.0,USD/month
4,N-Static,124,0.0,USD/month
4,N-Dynamic,125,876.0,USD/month
4,N-Cloud,125,73.0,USD/month
4,N-Static,125,0.0,USD/month
4,N-Dynamic,126,876.0,USD/month
4,N-Cloud,126,73.0,USD/month
4,N-Static,126,0.0,USD/month
4,N-Dynamic,127,876.0,USD/month
